S300 Angle scan, bar, 3LS lens, cookies for lens, air gap for the prizm-MCP
beam_17240214847    0  2017    2017    1  3  20.00   0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17240213623    1  2017    2017    1  3  30.00   0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17240212322    2  2017    2017    1  3  40.00   0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17240211057    3  2017    2017    1  3  50.00   0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17240205753    4  2017    2017    1  3  60.00   0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17240204445    5  2017    2017    1  3  70.00   0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17240203001    6  2017    2017    1  3  80.00   0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17240201655    7  2017    2017    1  3  90.00   0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17240191244    8  2017    2017    1  3  100.00  0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17240185318    9  2017    2017    1  3  110.00  0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17240182858    10 2017    2017    1  3  120.00  0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17240181058    11 2017    2017    1  3  130.00  0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17240151314    12 2017    2017    1  3  140.00  0.00    447.00  85.00   70.00   5.00    7.00    10.00   

S301 Angle scan, bar, 3LS lens, cookies for lens, air gap for the prizm-MCP; HV +150V; th offset 500
beam_17241222625    0  2017    2017    1  3  20.00   0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17242053631    1  2017    2017    1  3  25.00   0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17241224638    2  2017    2017    1  3  30.00   0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17241230615    3  2017    2017    1  3  40.00   0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17241232404    4  2017    2017    1  3  50.00   0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17241235836    5  2017    2017    1  3  60.00   0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17242070844    6  2017    2017    1  3  70.00   0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17242115300    7  2017    2017    1  3  80.00   0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17242120250    8  2017    2017    1  3  90.00   0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17242121608    9  2017    2017    1  3  100.00  0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17242122658    10 2017    2017    1  3  110.00  0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17242105452    11 2017    2017    1  3  120.00  0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17242113826    12 2017    2017    1  3  130.00  0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_17242114304    13 2017    2017    1  3  140.00  0.00    447.00  85.00   70.00   5.00    7.00    10.00   

S310 Angle scan, bar, 3LS lens, all with grease; HV +150V; th offset 600
beam_17244170154    0  2017    2017    1  3  20.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_17244171356    1  2017    2017    1  3  30.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_17244171854    2  2017    2017    1  3  40.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_17244172340    3  2017    2017    1  3  50.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_17244172834    4  2017    2017    1  3  60.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_17244173452    5  2017    2017    1  3  70.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_17244174209    6  2017    2017    1  3  80.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_17244175018    7  2017    2017    1  3  90.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_17244180555    8  2017    2017    1  3  100.00  0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_17244182110    9  2017    2017    1  3  110.00  0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_17244182818    10 2017    2017    1  3  120.00  0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_17244183924    11 2017    2017    1  3  130.00  0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_17244184701    12 2017    2017    1  3  140.00  0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_17244185431    13 2017    2017    1  3  150.00  0.00    447.00  85.00   66.20   15.20    7.00    3.00   

S311 Theta scan, bar, 3LS lens, all with grease; HV +150V; th offset 600
beam_s311_20        0  2017    2017    1  3  20.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_25        1  2017    2017    1  3  25.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_30        2  2017    2017    1  3  30.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_35        3  2017    2017    1  3  35.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_40        4  2017    2017    1  3  40.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_45        5  2017    2017    1  3  45.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_50        6  2017    2017    1  3  50.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_55        7  2017    2017    1  3  55.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_60        8  2017    2017    1  3  60.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_70        9  2017    2017    1  3  70.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_75        10 2017    2017    1  3  75.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_80        11 2017    2017    1  3  80.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_85        12 2017    2017    1  3  85.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_90        13 2017    2017    1  3  90.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_95        14 2017    2017    1  3  95.00   0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_100       15 2017    2017    1  3  100.00  0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_105       16 2017    2017    1  3  105.00  0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_110       17 2017    2017    1  3  110.00  0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_115       18 2017    2017    1  3  115.00  0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_120       19 2017    2017    1  3  120.00  0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_125       20 2017    2017    1  3  125.00  0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_130       21 2017    2017    1  3  130.00  0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_135       22 2017    2017    1  3  135.00  0.00    447.00  85.00   66.20   15.20    7.00    3.00   
beam_s311_140       23 2017    2017    1  3  140.00  0.00    447.00  85.00   66.20   15.20    7.00    3.00   

S312 Theta scan, phi = 10; bar + 3LS lens, all with grease; HV +150V; flipped edges
beam_s312_20        0  2017    2017    1  3  20.00   10.00   447.00  85.00   70.00   5.00    7.00    10.00   
beam_s312_25        1  2017    2017    1  3  25.00   10.00   447.00  85.00   70.00   5.00    7.00    10.00   
beam_s312_40        2  2017    2017    1  3  40.00   10.00   447.00  85.00   70.00   5.00    7.00    10.00   
beam_s312_50        3  2017    2017    1  3  50.00   10.00   447.00  85.00   70.00   5.00    7.00    10.00   
beam_s312_60        4  2017    2017    1  3  60.00   10.00   447.00  85.00   70.00   5.00    7.00    10.00   
beam_s312_70        5  2017    2017    1  3  70.00   10.00   447.00  85.00   70.00   5.00    7.00    10.00   
beam_s312_80        6  2017    2017    1  3  80.00   10.00   447.00  85.00   70.00   5.00    7.00    10.00   
beam_s312_90        7  2017    2017    1  3  90.00   10.00   447.00  85.00   70.00   5.00    7.00    10.00   
beam_s312_100       8  2017    2017    1  3  100.00  10.00   447.00  85.00   70.00   5.00    7.00    10.00   
beam_s312_110       9  2017    2017    1  3  110.00  10.00   447.00  85.00   70.00   5.00    7.00    10.00   
beam_s312_120       10 2017    2017    1  3  120.00  10.00   447.00  85.00   70.00   5.00    7.00    10.00   
beam_s312_130       11 2017    2017    1  3  130.00  10.00   447.00  85.00   70.00   5.00    7.00    10.00   
beam_s312_140       12 2017    2017    1  3  140.00  10.00   447.00  85.00   70.00   5.00    7.00    10.00   

S313 Mom scan, theta = 25 ; phi = 0; bar + 3LS lens; HV +150V;
beam_s313_25_3      0  2017    2017    1  3  20.00   0.00    447.00  85.00   70.00   5.00    3.00    10.00   
beam_s313_25_5      1  2017    2017    1  3  20.00   0.00    447.00  85.00   70.00   5.00    5.00    10.00   
beam_s313_25_6      2  2017    2017    1  3  20.00   0.00    447.00  85.00   70.00   5.00    6.00    10.00   
beam_s313_25_7      3  2017    2017    1  3  20.00   0.00    447.00  85.00   70.00   5.00    7.00    10.00   
beam_s313_25_8      4  2017    2017    1  3  20.00   0.00    447.00  85.00   70.00   5.00    8.00    10.00   
beam_s313_25_10     5  2017    2017    1  3  20.00   0.00    447.00  85.00   70.00   5.00    10.00   10.00   

S314 Phi scan, theta = 25 ; bar + 3LS lens; HV +150V;
beam_s314_25_1      0  2017    2017    1  3  25.00   1.00    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s314_25_2.5    1  2017    2017    1  3  25.00   2.50    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s314_25_5.0    2  2017    2017    1  3  25.00   5.00    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s314_25_7.5    3  2017    2017    1  3  25.00   7.50    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s314_25_10     4  2017    2017    1  3  25.00   10.00   447.00  85.00   70.00   14.80   7.00    3.00    
beam_s314_25_12.5   5  2017    2017    1  3  25.00   12.50   447.00  85.00   70.00   14.80   7.00    3.00    
beam_s314_25_15     6  2017    2017    1  3  25.00   15.00   447.00  85.00   70.00   14.80   7.00    3.00    

S315 Theta scan, phi = 5 ; bar + 3LS lens; HV +150V;
beam_s315_20_5      0  2017    2017    1  3  20.00   5.00    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s315_25_5      1  2017    2017    1  3  25.00   5.00    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s315_30_5      2  2017    2017    1  3  30.00   5.00    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s315_40_5      3  2017    2017    1  3  40.00   5.00    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s315_50_5      4  2017    2017    1  3  50.00   5.00    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s315_60_5      5  2017    2017    1  3  60.00   5.00    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s315_70_5      6  2017    2017    1  3  70.00   5.00    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s315_80_5      7  2017    2017    1  3  80.00   5.00    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s315_85_5      8  2017    2017    1  3  85.00   5.00    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s315_90_5      9  2017    2017    1  3  90.00   5.00    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s315_95_5      10 2017    2017    1  3  95.00   5.00    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s315_100_5     11 2017    2017    1  3  100.00  5.00    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s315_110_5     12 2017    2017    1  3  110.00  5.00    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s315_120_5     13 2017    2017    1  3  120.00  5.00    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s315_130_5     14 2017    2017    1  3  130.00  5.00    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s315_140_5     15 2017    2017    1  3  140.00  5.00    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s315_145_5     16 2017    2017    1  3  145.00  5.00    447.00  85.00   70.00   14.80   7.00    3.00    
beam_s315_150_5     17 2017    2017    1  3  150.00  5.00    447.00  85.00   70.00   14.80   7.00    3.00    

S316 Theta scan, phi = 0 ; plate + 2LC lens; HV +150V;
beam_s316_15        0  2017    2017    2  2  15.00   0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_20        1  2017    2017    2  2  20.00   0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s318_20        2  2017    2017    2  6  20.00   5.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_25        3  2017    2017    2  2  25.00   0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_30        4  2017    2017    2  2  30.00   0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_35        5  2017    2017    2  2  35.00   0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_40        6  2017    2017    2  2  40.00   0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_45        7  2017    2017    2  2  45.00   0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_50        8  2017    2017    2  2  50.00   0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_55        9  2017    2017    2  2  55.00   0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_60        10 2017    2017    2  2  60.00   0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_65        11 2017    2017    2  2  65.00   0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_70        12 2017    2017    2  2  70.00   0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_75        13 2017    2017    2  2  75.00   0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_80        14 2017    2017    2  2  80.00   0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_85        15 2017    2017    2  2  85.00   0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_90        16 2017    2017    2  2  90.00   0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_95        17 2017    2017    2  2  95.00   0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_100       18 2017    2017    2  2  100.00  0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_105       19 2017    2017    2  2  105.00  0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_110       20 2017    2017    2  2  110.00  0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_115       21 2017    2017    2  2  115.00  0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_120       22 2017    2017    2  2  120.00  0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_125       23 2017    2017    2  2  125.00  0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_130       24 2017    2017    2  2  130.00  0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_135       25 2017    2017    2  2  135.00  0.00    447.00  85.00   70.00   17.00   7.00    3.00    
beam_s316_140       26 2017    2017    2  2  140.00  0.00    447.00  85.00   70.00   17.00   7.00    3.00    

S317 Theta scan, phi = 0 ; plate + 3LC lens
beam_s317_20        0  2017    2017    2  6  20.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s317_25        1  2017    2017    2  6  25.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s317_30        2  2017    2017    2  6  30.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s317_40        3  2017    2017    2  6  40.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s317_50        4  2017    2017    2  6  50.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s317_55        5  2017    2017    2  6  55.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s317_60        6  2017    2017    2  6  60.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s317_70        7  2017    2017    2  6  70.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s317_80        8  2017    2017    2  6  80.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s317_90        9  2017    2017    2  6  90.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s317_100       10 2017    2017    2  6  100.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s317_110       11 2017    2017    2  6  110.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s317_120       12 2017    2017    2  6  120.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s317_125       13 2017    2017    2  6  125.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s317_130       14 2017    2017    2  6  130.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s317_140       15 2017    2017    2  6  140.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    

S319 z scan, theta = 25; phi = 0 ; plate + 3LC lens
beam_s319_513       0  2017    2017    2  6  20.00   0.00    513.00  85.00   70.00   0.00    7.00    3.00    
beam_s319_668       1  2017    2017    2  6  20.00   0.00    668.00  85.00   70.00   0.00    7.00    3.00    
beam_s319_xm50      2  2017    2017    2  6  20.00   0.00    447.00  135.00  70.00   0.00    7.00    3.00    
beam_s319_x25       3  2017    2017    2  6  20.00   0.00    447.00  60.00   70.00   0.00    7.00    3.00    
beam_s320_20        4  2017    2017    2  6  20.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s319_262       5  2017    2017    2  6  20.00   0.00    262.00  85.00   70.00   0.00    7.00    3.00    
beam_s320_25        6  2017    2017    2  6  25.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s320_30        7  2017    2017    2  6  30.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s320_40        8  2017    2017    2  6  40.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s320_50        9  2017    2017    2  6  50.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s320_60        10 2017    2017    2  6  60.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s320_70        11 2017    2017    2  6  70.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s320_80        12 2017    2017    2  6  80.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s320_90        13 2017    2017    2  6  90.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s320_100       14 2017    2017    2  6  100.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s320_110       15 2017    2017    2  6  110.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s320_120       16 2017    2017    2  6  120.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s320_130       17 2017    2017    2  6  130.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s320_140       18 2017    2017    2  6  140.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    

S321 Offset scan; plate + 3LC lens
beam_s321_25_900    0  2017    2017    2  6  25.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s321_25_1200   1  2017    2017    2  6  25.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s321_25_2400   2  2017    2017    2  6  25.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s321_125_900   3  2017    2017    2  6  125.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s321_125_1200  4  2017    2017    2  6  125.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    

S322 Momentum scan; theta=25; phi=0; plate + 3LC lens
beam_s322_2         0  2017    2017    2  6  25.00   0.00    447.00  85.00   70.00   0.00    2.00    3.00    
beam_s322_3         1  2017    2017    2  6  25.00   0.00    447.00  85.00   70.00   0.00    3.00    3.00    
beam_s322_4         2  2017    2017    2  6  25.00   0.00    447.00  85.00   70.00   0.00    4.00    3.00    
