2016/10/08 20:35:34 endpoint: 0x2004, chain: 00, channel:  0 threshold: 0x8583, uid: 580000050d344028
2016/10/08 20:35:34 endpoint: 0x2000, chain: 00, channel:  0 threshold: 0x84f2, uid: c00000050df9bf28
2016/10/08 20:35:34 endpoint: 0x2001, chain: 01, channel:  0 threshold: 0x83f5, uid: d6000004e38f2728
2016/10/08 20:35:34 endpoint: 0x200a, chain: 02, channel:  0 threshold: 0x812d, uid: 330000050dfa4528
2016/10/08 20:35:34 endpoint: 0x2008, chain: 00, channel:  0 threshold: 0x82eb, uid: 4f0000050d27ca28
2016/10/08 20:35:34 endpoint: 0x2006, chain: 02, channel:  0 threshold: 0x8353, uid: 620000050d8a9e28
2016/10/08 20:35:34 endpoint: 0x2009, chain: 01, channel:  0 threshold: 0x84d1, uid: b60000050d610428
2016/10/08 20:35:34 endpoint: 0x2005, chain: 01, channel:  0 threshold: 0x82f5, uid: 8a0000050d4b2e28
2016/10/08 20:35:34 endpoint: 0x2002, chain: 02, channel:  0 threshold: 0x85fb, uid: 550000050d4aa528
2016/10/08 20:35:48 endpoint: 0x2004, chain: 00, channel:  1 threshold: 0x84af, uid: 580000050d344028
2016/10/08 20:35:48 endpoint: 0x2000, chain: 00, channel:  1 threshold: 0x8393, uid: c00000050df9bf28
2016/10/08 20:35:48 endpoint: 0x2001, chain: 01, channel:  1 threshold: 0x838d, uid: d6000004e38f2728
2016/10/08 20:35:48 endpoint: 0x200a, chain: 02, channel:  1 threshold: 0x8047, uid: 330000050dfa4528
2016/10/08 20:35:48 endpoint: 0x2008, chain: 00, channel:  1 threshold: 0x8351, uid: 4f0000050d27ca28
2016/10/08 20:35:48 endpoint: 0x2006, chain: 02, channel:  1 threshold: 0x835f, uid: 620000050d8a9e28
2016/10/08 20:35:48 endpoint: 0x2009, chain: 01, channel:  1 threshold: 0x84e5, uid: b60000050d610428
2016/10/08 20:35:48 endpoint: 0x2005, chain: 01, channel:  1 threshold: 0x8307, uid: 8a0000050d4b2e28
2016/10/08 20:35:48 endpoint: 0x2002, chain: 02, channel:  1 threshold: 0x853d, uid: 550000050d4aa528
2016/10/08 20:36:02 endpoint: 0x2004, chain: 00, channel:  2 threshold: 0x85c8, uid: 580000050d344028
2016/10/08 20:36:02 endpoint: 0x2000, chain: 00, channel:  2 threshold: 0x849d, uid: c00000050df9bf28
2016/10/08 20:36:02 endpoint: 0x2001, chain: 01, channel:  2 threshold: 0x844a, uid: d6000004e38f2728
2016/10/08 20:36:02 endpoint: 0x200a, chain: 02, channel:  2 threshold: 0x8050, uid: 330000050dfa4528
2016/10/08 20:36:02 endpoint: 0x2008, chain: 00, channel:  2 threshold: 0x832d, uid: 4f0000050d27ca28
2016/10/08 20:36:02 endpoint: 0x2006, chain: 02, channel:  2 threshold: 0x84dd, uid: 620000050d8a9e28
2016/10/08 20:36:02 endpoint: 0x2009, chain: 01, channel:  2 threshold: 0x8510, uid: b60000050d610428
2016/10/08 20:36:02 endpoint: 0x2005, chain: 01, channel:  2 threshold: 0x837e, uid: 8a0000050d4b2e28
2016/10/08 20:36:02 endpoint: 0x2002, chain: 02, channel:  2 threshold: 0x8609, uid: 550000050d4aa528
2016/10/08 20:36:18 endpoint: 0x2004, chain: 00, channel:  3 threshold: 0x854f, uid: 580000050d344028
2016/10/08 20:36:18 endpoint: 0x2000, chain: 00, channel:  3 threshold: 0x8493, uid: c00000050df9bf28
2016/10/08 20:36:18 endpoint: 0x2001, chain: 01, channel:  3 threshold: 0x83f7, uid: d6000004e38f2728
2016/10/08 20:36:18 endpoint: 0x200a, chain: 02, channel:  3 threshold: 0x812e, uid: 330000050dfa4528
2016/10/08 20:36:18 endpoint: 0x2008, chain: 00, channel:  3 threshold: 0x8280, uid: 4f0000050d27ca28
2016/10/08 20:36:18 endpoint: 0x2006, chain: 02, channel:  3 threshold: 0x84a2, uid: 620000050d8a9e28
2016/10/08 20:36:18 endpoint: 0x2009, chain: 01, channel:  3 threshold: 0x8410, uid: b60000050d610428
2016/10/08 20:36:18 endpoint: 0x2005, chain: 01, channel:  3 threshold: 0x8397, uid: 8a0000050d4b2e28
2016/10/08 20:36:18 endpoint: 0x2002, chain: 02, channel:  3 threshold: 0x850c, uid: 550000050d4aa528
2016/10/08 20:36:34 endpoint: 0x2004, chain: 00, channel:  4 threshold: 0x8611, uid: 580000050d344028
2016/10/08 20:36:34 endpoint: 0x2000, chain: 00, channel:  4 threshold: 0x848d, uid: c00000050df9bf28
2016/10/08 20:36:34 endpoint: 0x2001, chain: 01, channel:  4 threshold: 0x83fd, uid: d6000004e38f2728
2016/10/08 20:36:34 endpoint: 0x200a, chain: 02, channel:  4 threshold: 0x809b, uid: 330000050dfa4528
2016/10/08 20:36:34 endpoint: 0x2002, chain: 02, channel:  4 threshold: 0x84a7, uid: 550000050d4aa528
2016/10/08 20:36:34 endpoint: 0x2008, chain: 00, channel:  4 threshold: 0x83a1, uid: 4f0000050d27ca28
2016/10/08 20:36:34 endpoint: 0x2006, chain: 02, channel:  4 threshold: 0x8391, uid: 620000050d8a9e28
2016/10/08 20:36:34 endpoint: 0x2009, chain: 01, channel:  4 threshold: 0x8467, uid: b60000050d610428
2016/10/08 20:36:34 endpoint: 0x2005, chain: 01, channel:  4 threshold: 0x83a5, uid: 8a0000050d4b2e28
2016/10/08 20:36:48 endpoint: 0x2004, chain: 00, channel:  5 threshold: 0x8631, uid: 580000050d344028
2016/10/08 20:36:48 endpoint: 0x2000, chain: 00, channel:  5 threshold: 0x83ff, uid: c00000050df9bf28
2016/10/08 20:36:48 endpoint: 0x2001, chain: 01, channel:  5 threshold: 0x848e, uid: d6000004e38f2728
2016/10/08 20:36:48 endpoint: 0x200a, chain: 02, channel:  5 threshold: 0x80ff, uid: 330000050dfa4528
2016/10/08 20:36:48 endpoint: 0x2002, chain: 02, channel:  5 threshold: 0x85cf, uid: 550000050d4aa528
2016/10/08 20:36:48 endpoint: 0x2008, chain: 00, channel:  5 threshold: 0x837c, uid: 4f0000050d27ca28
2016/10/08 20:36:48 endpoint: 0x2006, chain: 02, channel:  5 threshold: 0x8399, uid: 620000050d8a9e28
2016/10/08 20:36:48 endpoint: 0x2005, chain: 01, channel:  5 threshold: 0x838d, uid: 8a0000050d4b2e28
2016/10/08 20:36:48 endpoint: 0x2009, chain: 01, channel:  5 threshold: 0x83e5, uid: b60000050d610428
2016/10/08 20:37:02 endpoint: 0x2004, chain: 00, channel:  6 threshold: 0x8585, uid: 580000050d344028
2016/10/08 20:37:02 endpoint: 0x2000, chain: 00, channel:  6 threshold: 0x8475, uid: c00000050df9bf28
2016/10/08 20:37:02 endpoint: 0x2001, chain: 01, channel:  6 threshold: 0x83d9, uid: d6000004e38f2728
2016/10/08 20:37:02 endpoint: 0x200a, chain: 02, channel:  6 threshold: 0x80e0, uid: 330000050dfa4528
2016/10/08 20:37:02 endpoint: 0x2002, chain: 02, channel:  6 threshold: 0x84d9, uid: 550000050d4aa528
2016/10/08 20:37:02 endpoint: 0x2008, chain: 00, channel:  6 threshold: 0x8367, uid: 4f0000050d27ca28
2016/10/08 20:37:02 endpoint: 0x2006, chain: 02, channel:  6 threshold: 0x8375, uid: 620000050d8a9e28
2016/10/08 20:37:02 endpoint: 0x2009, chain: 01, channel:  6 threshold: 0x84d3, uid: b60000050d610428
2016/10/08 20:37:02 endpoint: 0x2005, chain: 01, channel:  6 threshold: 0x8427, uid: 8a0000050d4b2e28
2016/10/08 20:37:17 endpoint: 0x2004, chain: 00, channel:  7 threshold: 0x85f3, uid: 580000050d344028
2016/10/08 20:37:17 endpoint: 0x200a, chain: 02, channel:  7 threshold: 0x80b2, uid: 330000050dfa4528
2016/10/08 20:37:17 endpoint: 0x2000, chain: 00, channel:  7 threshold: 0x83dd, uid: c00000050df9bf28
2016/10/08 20:37:17 endpoint: 0x2001, chain: 01, channel:  7 threshold: 0x8437, uid: d6000004e38f2728
2016/10/08 20:37:17 endpoint: 0x2002, chain: 02, channel:  7 threshold: 0x8517, uid: 550000050d4aa528
2016/10/08 20:37:17 endpoint: 0x2008, chain: 00, channel:  7 threshold: 0x83ad, uid: 4f0000050d27ca28
2016/10/08 20:37:17 endpoint: 0x2006, chain: 02, channel:  7 threshold: 0x8426, uid: 620000050d8a9e28
2016/10/08 20:37:18 endpoint: 0x2009, chain: 01, channel:  7 threshold: 0x8477, uid: b60000050d610428
2016/10/08 20:37:18 endpoint: 0x2005, chain: 01, channel:  7 threshold: 0x81a1, uid: 8a0000050d4b2e28
2016/10/08 20:37:34 endpoint: 0x2004, chain: 00, channel:  8 threshold: 0x863e, uid: 580000050d344028
2016/10/08 20:37:34 endpoint: 0x200a, chain: 02, channel:  8 threshold: 0x80ac, uid: 330000050dfa4528
2016/10/08 20:37:34 endpoint: 0x2000, chain: 00, channel:  8 threshold: 0x8507, uid: c00000050df9bf28
2016/10/08 20:37:34 endpoint: 0x2001, chain: 01, channel:  8 threshold: 0x8399, uid: d6000004e38f2728
2016/10/08 20:37:34 endpoint: 0x2002, chain: 02, channel:  8 threshold: 0x8475, uid: 550000050d4aa528
2016/10/08 20:37:34 endpoint: 0x2006, chain: 02, channel:  8 threshold: 0x838e, uid: 620000050d8a9e28
